StationId,PoleID,Date,Hours,Usage
E35A8FC8-2B28-4C54-AE58-9E139DFBC232,1220230115000201,2024-01-03,"10,11,12,13,15,16,17,8,9",9
3830D6DB-5C7B-4F81-BB84-9F8A07C07C05,2120230406000401,2024-01-03,"15,16,21,22",4
2F4DCC53-9393-4FA9-BC84-1A555336B761,00160518000102,2024-01-04,"15,16,17,18,19,20,21",7
5A9325BA-A3EF-4BF5-91BA-225CC0D4BF53,2620230612000100,2024-01-15,"11,12,13,14,15",5
0B4EC1DE-B3C2-47D1-A258-883B2C79C033,4020231212000500,2024-01-21,"10,11,12,13,14,15,16,17,9",9
D7E2EDE2-2DA8-4B06-AB77-04D06BD89962,00012022092602,2024-01-21,23,1
D7E2EDE2-2DA8-4B06-AB77-04D06BD89962,00012022092602,2024-01-22,"11,12,13,14,15,16,17,18,23",9
5562E0B8-5003-4FC5-A518-1A7939C0B030,00140213000301,2024-01-23,"10,11,12,13,14,15,16,17,18,19,20,21,8,9",14
0BEC1117-6006-4A25-9102-1B7BF7887325,2220230407000201,2024-01-02,"10,12,14,15,17,5,6,7,8,9",10
FB9133C6-6DCC-44C2-BDE3-AA695298D8A6,2020230406000100,2024-01-09,"17,18,19,21,22,8",6
E35A8FC8-2B28-4C54-AE58-9E139DFBC232,1220230115000201,2024-01-13,"1,10,11,12,13,15,16,17,22",9
91F2FF00-DFD8-4650-93EB-A67DFE2CE323,2820230719000400,2024-01-17,"17,18,19,20,21",5
E005E335-3634-4E00-AE6B-08932C5392B1,6120231226000401,2024-01-18,"0,1,14,22,23",5
F46DB087-E973-485E-A40C-B6C89003D297,0204230721000200,2024-01-25,"0,1,10,11,12,13,14,15,16,18,19,20,21,22,23,6,7,9",18
38AC2E70-AC0A-4963-81FC-02C94AF8F13B,1320230115000200,2024-01-29,"14,15",2
8ED15317-938A-4765-B668-B575DA6D2E18,00032022102301,2024-01-01,"21,22",2
02998CFE-5B9E-40E7-8BB4-E52DBEB285B4,1820230313000101,2024-01-12,"17,18,23",3
02998CFE-5B9E-40E7-8BB4-E52DBEB285B4,1820240118000500,2024-01-21,"0,1,12,13,14,2,3,4,5,6",10
E005E335-3634-4E00-AE6B-08932C5392B1,6120231226000400,2024-01-25,"10,11,12,13,14,15,18,19,4,5,9",11
89F555E9-5C09-4DAE-B721-CECDD8E97C11,2520230522000800,2024-01-25,"20,21,22",3
5AAD753D-A041-4A31-8A01-35FAC116DF17,00022022121204,2024-01-08,"10,11",2
29AB446B-7F39-4478-BE76-81504A240088,4120231212000300,2024-01-10,19,1
3E05D116-A406-449A-938E-6DE5815DF6CC,5520231219000301,2024-01-14,"12,23",2
194A537C-BEAE-436C-AE26-46E279789912,1120230115000300,2024-01-15,"15,16",2
2F4DCC53-9393-4FA9-BC84-1A555336B761,1620230216000300,2024-01-31,"13,14,15,16,17,18,19,20,21",9
